full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter
  1362 Griqua (1935 QG1),3.214413494658447,0.3720055678905493,24.23002518227266,121.3417106072665,261.7066781349932,2.018633777142986,4.410193212173908,5.7631618494612695,32705.0,0,3264,,,11.2,26.936
384125 (2008 XF49),3.0201226561848182,0.1455049992079929,7.105190103332433,285.31728787,120.8748509994054,2.580679711488604,3.459565600881031,5.24861931395963,6329.0,0,153,,,16.2,4.611000000000001
248339 (2005 QA83),3.0792307104509486,0.07051411496555532,10.72012870376974,330.4907535863845,317.2620656853499,2.862101482128742,3.2963599387731564,5.40345509347837,6151.0,0,222,,,15.4,3.1319999999999997
 21527 Horton (1998 MV27),2.5786829572820498,0.18313268160187804,12.69500686261408,286.4067927624809,47.364291960024,2.106441832313927,3.0509240822501735,4.14099901537818,25234.0,0,1809,,,13.4,4.988
 93037 (2000 RF104),2.663771705321832,0.1283059598886379,12.14950552248093,259.1740323672805,175.6155055161525,2.32199391974632,3.005549490897344,4.34764128896707,7223.0,0,879,,,14.7,3.228
275757 (2001 OD44),3.242694899011612,0.08912979244606227,11.833371383162119,213.1226186496108,147.059088009519,2.9536741756968015,3.5317156223264217,5.83938802417235,6761.0,0,401,,,15.0,5.176
 23782 (1998 QE12),3.419316600253851,0.09428344136053632,9.26252253720235,192.5486767514233,271.47912474273465,3.096931664080709,3.741701536426993,6.322912536208791,8799.0,0,2060,,,12.6,16.811
 53037 (1998 WZ13),2.389518286905441,0.1085648921480446,5.883257849054582,252.6780017430182,122.5149718947836,2.130100491801771,2.6489360820091106,3.6938030880151898,7938.0,0,1072,,,15.1,2.479
 87877 (2000 SS273),3.0598731536200066,0.1361983382035501,1.5687735151454651,86.67000080112835,237.1015349545034,2.643123514983305,3.476622792256707,5.35258209720883,7145.0,0,537,,,15.1,5.529
 18585 (1997 YE2),2.1957794114078797,0.1062231460738773,5.606958075642884,75.3279977599515,15.781897742483421,1.9625368142438893,2.429022008571871,3.25380307468557,10169.0,0,1683,,,14.3,3.891
 85927 (1999 CQ117),2.581281861104253,0.2662136577903587,11.11277890739806,295.4869938252524,103.6817088316187,1.8941093750717848,3.2684543471367205,4.14726079872117,7746.0,0,1317,,,14.3,6.0
  1834 Palach (1969 QP),3.023948746779544,0.07037840621610203,9.437542583422653,268.1541650898072,358.9816339608123,2.8111280535020207,3.2367694400570666,5.25859641794199,18606.0,0,2531,,,11.3,17.156
  2604 Marshak (1972 LD1),2.3874096655324517,0.23350988795737,14.84363400203945,122.94651229925479,134.7327354555863,1.8299259020256269,2.944893429039277,3.68891479298361,25590.0,0,2328,,,13.1,14.9
362399 (2010 OT95),2.722703063303991,0.1567877964380588,12.39123660119715,98.56707290647292,248.81639819434102,2.295816449653406,3.1495896769545766,4.49271244145589,6671.0,0,225,,,16.2,2.312
216249 (2006 VV99),3.179208932888208,0.04557319587607492,8.204882670962526,234.7920551378696,44.170659438267705,3.034322221458726,3.324095644317689,5.66874351173682,7124.0,0,316,,,15.4,3.9810000000000003
       (2015 NK),2.348189977581566,0.3458092231214012,9.461984829274787,102.823613896337,152.48713674527417,1.5361642256926242,3.160215729470508,3.5983884772292902,5667.0,0,64,,,18.1,1.19
311945 (2007 CF59),3.166785176324861,0.05277553970826144,14.25572625359534,300.3489309455739,293.3798552300501,2.999656379504195,3.3339139731455285,5.635547404452421,5359.0,0,214,,,15.1,5.933
       (2015 DU180),1.9265288901716,0.921916528591952,4.852344951352376,51.84172075520612,315.3162220616503,0.1504300635124925,3.702627716830708,2.6740621163550498,875.0,3,45,,,20.8,0.435
189262 (2004 XL81),3.103976946387851,0.1279412200056246,23.18963433878757,92.49674352172121,279.34975048654593,2.7068503489976554,3.5011035437780462,5.468723083575799,6742.0,0,377,,,14.4,7.649
       (2010 HQ40),3.1305440208563113,0.047509330976239085,15.99089065940178,31.99604082772046,115.3348105038534,2.981813968833762,3.27927407287886,5.53908366391972,4961.0,0,97,,,16.5,4.539
 46728 (1997 SJ29),2.9522004041285568,0.07272880025765795,9.309876386832867,288.776613347728,170.73860198886558,2.737490410616114,3.1669103976410002,5.07255722679209,8270.0,0,1115,,,14.0,5.935
 27140 (1998 XW49),2.8010630387194078,0.0848976130167668,9.03077996016199,4.744022556502835,157.2531756471979,2.563259472822639,3.0388666046161763,4.68805314749181,8310.0,0,1858,,,13.6,5.669
 90622 (1155 T-2),2.7104929299001683,0.1589070524211933,3.968654252989645,189.91531052227157,205.09523746015782,2.2797764878012483,3.141209371999088,4.46252457174771,17014.0,0,1165,,,14.9,2.612
  6793 Palazzolo (1991 YE),2.681511531916419,0.1578962563497116,4.92675327211141,106.3633853084026,46.70175039197825,2.2581108996682366,3.104912164164602,4.39114426778764,13742.0,0,1861,,,13.7,9.882
191423 (2003 SX146),3.145105383904984,0.1958154616362256,6.083757074780687,320.11091998718103,89.49247609307673,2.5292451212610505,3.7609656465489167,5.5777751786938,7556.0,0,405,,,15.3,5.745
106490 (2000 WB26),3.207588053801994,0.054796462058002864,1.036181195220013,271.6776122774336,100.8847465294373,3.03182357671413,3.383352530889858,5.74481547076264,8917.0,0,728,,,14.8,7.154
       (2010 FR86),3.022262018611332,0.1337182046892262,10.434364979107642,222.2754690676512,280.4882922653971,2.6181305673821877,3.426393469840476,5.25419724332467,3551.0,1,50,,,17.067999999999998,2.575
 30973 (1995 DS8),2.4263153228364267,0.1536836860547178,2.2855489775181077,4.8450147968451125,142.1187671782025,2.053430240491882,2.7992004051809705,3.77945399782686,9518.0,0,1080,,,15.2,2.0
198433 (2004 VZ110),2.64447172328453,0.02517501370152241,3.4158338731149214,43.552704683646326,68.08268586525271,2.5778971114175544,2.7110463351515066,4.30047664673174,6654.0,0,329,,,16.4,2.739
 38895 (2000 SE152),2.2874007555431892,0.1432001293612964,7.596219171426532,24.83196022973545,299.5799807295487,1.959844671448277,2.614956839638102,3.4595657794209904,9735.0,0,1171,,,15.4,1.865
       (2009 VJ104),3.023321291965027,0.2684314136585802,8.454622028505096,344.9018533814067,38.006846645153644,2.21176688361877,3.8348757003112834,5.256959802666151,3673.0,0,188,,,16.5,1.973
495260 (2013 PO38),2.9955279100463987,0.1171870522523999,8.639676297670167,12.71828598667409,24.223477100730328,2.644490824328269,3.3465649957645285,5.1846358415300795,9599.0,0,189,,,16.2,2.8760000000000003
455246 (2001 SO283),2.730116541204065,0.3033447626509452,7.968088566759646,4.680176014544644,41.71686724022498,1.901949987003098,3.5582830954050313,4.5110743150099095,6632.0,0,121,,,17.7,2.049
356691 (2011 UR124),2.8437119978768814,0.02230211184677026,6.945177193342878,232.6411681411385,251.1903411629165,2.780291214840228,2.9071327809135337,4.795530061116451,8218.0,0,336,,,15.8,3.228
 12813 Paolapaolini (1996 CU8),2.781068589421531,0.09043645068543316,9.020340060256522,356.4692806666761,154.3487218230073,2.529558617081503,3.0325785617615586,4.63794668821711,24246.0,0,1545,,,13.8,4.97
 10053 (1987 SR12),2.2788969058671795,0.1563464138258835,4.286017132086318,177.32082703125567,117.06427436357141,1.922599547155944,2.635194264578415,3.44029132542153,16098.0,0,2363,,,14.0,4.47
432570 (2010 NK37),3.0648070151374514,0.1605173707385422,10.81610608006849,159.4996040854251,187.5589502763532,2.572852251246548,3.556761779028355,5.365533389795121,7623.0,0,160,,,16.0,4.4030000000000005
  4791 Iphidamas (1988 PB1),5.159477326708138,0.04511215841875644,25.96988468276843,261.4640601369728,164.8330932383233,4.926722168187698,5.392232485228576,11.7197072837045,11681.0,0,1687,,,10.0,49.528
 11330 (1995 WZ6),3.0054026623126937,0.08661147049864627,11.1346636602934,67.42541856524211,336.9191994178302,2.7451003182892455,3.265705006336142,5.21029367160794,9022.0,0,1506,,,13.2,8.197000000000001
380267 (2001 YM68),2.5357677786197166,0.2294579583786559,12.46944899687649,284.4417460479768,178.6210884344758,1.953915681215258,3.1176198760241784,4.03805677538622,6798.0,0,199,,,16.7,2.417
